system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A32.12,Listerial meningoencephalitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.7,Listerial sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.8,Other forms of listeriosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.81,Oculoglandular listeriosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.82,Listerial endocarditis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.89,Other forms of listeriosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.9,"Listeriosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A33,Tetanus neonatorum,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A34,Obstetrical tetanus,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A35,Other tetanus,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36,Diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.0,Pharyngeal diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.1,Nasopharyngeal diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.2,Laryngeal diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.3,Cutaneous diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.8,Other diphtheria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.81,Diphtheritic cardiomyopathy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.82,Diphtheritic radiculomyelitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.83,Diphtheritic polyneuritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.84,Diphtheritic tubulo-interstitial nephropathy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.85,Diphtheritic cystitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.86,Diphtheritic conjunctivitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.89,Other diphtheritic complications,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A36.9,"Diphtheria, unspecified",medium,confirmed
