"system","code","display","include","likely","preop","transplant","rejection","failure","outcome","lab","imaging"
"http://www.ama-assn.org/go/cpt","50360","Implantation of renal allograft","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B42MY","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Other Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MYZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using Other Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39YZ","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast @ None","true",,,,,,,,"true"
"http://hl7.org/fhir/sid/icd-9-cm","55.69","Other kidney transplantation","true",,,"true",,,,,
"http://snomed.info/sct","183985008","Renal transplant planned (situation)","true","true",,,,,,,
"http://snomed.info/sct","440449002","MR angiography of transplanted kidney","true",,,,,,,,"true"
"http://snomed.info/sct","763471008","Fluoroscopic venography of renal vein using contrast with insertion of metallic stent graft (procedure)","true","true",,,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0Z","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ High Osmolar @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291ZZ","CT Scan of Kidney Transplant using L Osm Contrast","true",,,,,,,,"true"
"http://snomed.info/sct","1334077000","Ultrasonography of transplanted bilateral kidneys with contrast","true",,,,,,,,"true"
"http://snomed.info/sct","286626001","Live donor allogeneic transplant kidney (substance)","true",,,"true",,,,,
"http://snomed.info/sct","419139005","Fluoroscopic angiography of renal transplant","true",,,,,,,,"true"
"http://snomed.info/sct","429496005","Examination of live donor after kidney transplant","true","true",,,,,,,
"http://snomed.info/sct","782655004","Laparoscopic transplant of kidney using robotic assistance (procedure)","true",,,"true",,,,,
"http://snomed.info/sct","122531000119108","Lymphoproliferative disorder following kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","213147001","(Transplanted organ failure) or (deteriorating renal function after renal transplant) (disorder)","false",,,,,,"true",,
"http://snomed.info/sct","236584009","Perfusion injury of renal transplant","false",,,,,,"true",,
"http://snomed.info/sct","58797008","Complication of transplanted kidney","false",,,,,,"true",,
"http://hl7.org/fhir/sid/icd-9-cm","996.73","Other complications due to renal dialysis device, implant, and graft","false",,,,,,"true",,
"http://snomed.info/sct","175948009","Exploration of renal transplant (procedure)","true",,,,,,,,"true"
"http://snomed.info/sct","236573002","Very mild acute rejection of renal transplant","false",,,,"true",,,,
"http://snomed.info/sct","236575009","Acute rejection of renal transplant - grade I","false",,,,"true",,,,
"http://snomed.info/sct","284348003","Excision of rejected transplanted kidney (procedure)","false",,,,,"true",,,
"http://snomed.info/sct","428645009","Examination of recipient after kidney transplant (procedure)","true","true",,,,,,,
"http://snomed.info/sct","430403008","Percutaneous transluminal angioplasty of transplanted renal artery using fluoroscopic guidance","false",,,,,,"true",,
"http://www.ama-assn.org/go/cpt","50370","Removal of previously transplanted donor kidney","false",,,,,"true",,,
"http://hl7.org/fhir/sid/icd-10-cm","T86.11","Kidney transplant rejection","false",,,,"true",,,,
"http://snomed.info/sct","277010001","Unexplained episode of renal transplant dysfunction","false",,,,,,"true",,
"http://snomed.info/sct","429451003","Disorder related to renal transplantation","false",,,,,,"true",,
"http://snomed.info/sct","1255577005","Recurrent glomerulonephritis following renal transplant","false",,,,,,"true",,
"http://snomed.info/sct","236569000","Primary non-function of renal transplant","false",,,,,,"true",,
"http://snomed.info/sct","26056000","Removal of transplanted kidney","false",,,,,"true",,,
"http://www.ama-assn.org/go/cpt","50328","PREP RENAL GRAFT/ARTERIAL","true",,"true",,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY1","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B40MYZZ","Plain Radiography of Renal Art Transplant using Oth Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MYZ","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Other Contrast @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ2","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ None @ Intravascular Optical Coherence","true",,,,,,,,"true"
"http://snomed.info/sct","1290258003","Structure of transplanted kidney in right iliac fossa region of abdomen","true",,,"true",,,,,
"http://snomed.info/sct","1333889005","Antegrade insertion of stent into right ureter of transplanted kidney using fluoroscopic guidance","true",,,"true",,,,,
